id,price_doc
30474,3801423.9046028755
30475,6485141.564998078
30476,3966825.449011884
30477,4750115.178559191
30478,3672775.4302552305
30479,6398701.845242216
30480,3470451.503878553
30481,3286334.217733067
30482,3477743.7180884066
30483,3909957.1501495275
30484,5032198.035402502
30485,3616899.8767739213
30486,3196489.668275809
30487,3081654.788767383
30488,3994791.3091560123
30489,4997570.765240929
30490,12507696.492313176
30491,10990040.673107466
30492,4575781.917917845
30493,9670383.531250693
30494,5593022.605759131
30495,7248234.164715173
30496,7528626.540199022
30497,6758800.250336735
30498,3086130.699125481
30499,5463059.66635438
30500,8216866.976887702
30501,4761409.30895906
30502,2264806.298972129
30503,4718974.071563488
30504,4142794.130032606
30505,8817754.256385606
30506,2198385.3273477997
30507,3546839.0678516463
30508,4424433.234505804
30509,5742049.58250329
30510,7264388.43880818
30511,4910510.287904892
30512,4706561.914536239
30513,3652863.232336515
30514,2983738.2424182184
30515,7058603.762999527
30516,4329540.902373785
30517,7496385.360505975
30518,4790093.77014338
30519,3583897.5203711255
30520,5118939.79527614
30521,4144276.651186545
30522,5159495.435056301
30523,4324254.686046755
30524,6831407.967670755
30525,7652433.478036263
30526,3536513.776339235
30527,3982423.111978862
30528,3984700.078288473
30529,4280310.992853377
30530,4614864.090671444
30531,9878866.571544033
30532,3872775.2337230984
30533,6488705.571635557
30534,5587869.9071228355
30535,7118908.697524298
30536,4489232.328122697
30537,7366544.736880306
30538,3304089.879985422
30539,8387383.353415043
30540,7239848.67003231
30541,5760632.377292099
30542,1520951.6725914457
30543,3756976.343270584
30544,5069070.157990674
30545,5872781.701002211
30546,3252585.1293610837
30547,7489461.450485421
30548,3787621.8149361196
30549,3832676.1709260875
30550,7717349.477370385
30551,3891233.814548897
30552,1463990.7878501627
30553,5171188.938331433
30554,7919937.576756227
30555,5267871.422932598
30556,6266208.737460282
30557,6304390.53220473
30558,5952312.4446537355
30559,5225782.6300842725
30560,4397458.523019004
30561,4859839.472118844
30562,8966293.781993628
30563,3386417.1966290544
30564,4954474.089583481
30565,5978863.911000915
30566,5665370.33166121
30567,1526554.7213431129
30568,7045984.939870505
30569,6711615.165711342
30570,4494923.586353278
30571,5430116.912915611
30572,3535042.683392917
30573,4949041.799444736
30574,4766056.12470622
30575,6007612.614142179
30576,2956958.741340027
30577,3677747.4896732676
30578,2283314.6614937126
30579,4958239.919513155
30580,3767296.283693082
30581,3698963.8354566437
30582,9015788.29849694
30583,5575849.482792411
30584,2840369.8024699064
30585,2447824.203969927
30586,7410322.536522013
30587,4866122.521378059
30588,5265502.185405305
30589,5379681.582879496
30590,9750301.486231158
30591,3698129.637264827
30592,5249985.271730243
30593,7821528.066035215
30594,7311230.571478991
30595,4515183.499298402
30596,4792051.1841541305
30597,4953529.09151786
30598,7341256.805020151
30599,9590248.070824731
30600,4746437.572978964
30601,4006989.672759594
30602,1508968.409495203
30603,9799807.646189429
30604,3154242.471029774
30605,5264271.8512118235
30606,12206820.119228419
30607,5217827.781704273
30608,6582252.083629788
30609,5042027.6976937335
30610,2126539.085562271
30611,4494337.711785711
30612,5393068.424193684
30613,6500496.257866141
30614,14072393.477642804
30615,5268491.306064024
30616,4488802.873821234
30617,6227778.620853908
30618,3475175.624602687
30619,3368663.2409566487
30620,2133651.0641388455
30621,6656396.167076203
30622,6875161.495474544
30623,4164704.6423950167
30624,5308722.1678009555
30625,5107993.619413309
30626,4504295.13433456
30627,6163354.910855091
30628,5015979.721522427
30629,3382381.9644773123
30630,3750744.363530007
30631,4509834.835128339
30632,3175928.888666066
30633,4364927.175374873
30634,7091147.689665626
30635,7356387.905478541
30636,3783554.322036357
30637,7462657.063334868
30638,4114437.792737371
30639,7260738.311661842
30640,3810805.38583521
30641,6904509.949680859
30642,4235097.757659911
30643,5801634.485274272
30644,7450255.420272829
30645,5364488.492882439
30646,3925224.826375015
30647,3871647.2981956457
30648,13180162.359113233
30649,2183196.4496150534
30650,3234859.5596657265
30651,2315363.129735391
30652,3710794.772113116
30653,8224088.249583154
30654,3553364.880112818
30655,8760885.698065681
30656,2890358.2719556987
30657,4484705.264643405
30658,7864886.182379799
30659,3806590.489907277
30660,5541006.057412092
30661,4894253.515909077
30662,6895985.782835295
30663,10648303.599870274
30664,10941608.771005526
30665,5064927.341214169
30666,2231904.3171887565
30667,3854749.3733582837
30668,7525649.719486197
30669,4119602.922591017
30670,2053291.2219751903
30671,5830534.10579183
30672,9118500.05719819
30673,7076077.995211859
30674,6807686.224319951
30675,1533408.3839323602
30676,5256563.790811584
30677,3093806.2884422117
30678,11438875.708020793
30679,4707363.036481608
30680,4918258.235250242
30681,1728679.268597348
30682,5618330.08151337
30683,7847879.881663898
30684,5111469.468471718
30685,5637463.698187318
30686,7118915.840514792
30687,3528947.064783651
30688,3325575.3336598976
30689,4660585.196237819
30690,13686423.513434751
30691,3559476.0375902853
30692,5109127.669544658
30693,7314515.322952233
30694,5200211.374143704
30695,4565618.5262212735
30696,4964973.826821686
30697,6262431.656756004
30698,5627094.885897744
30699,4086910.9883465003
30700,3575185.024871441
30701,7468910.399737093
30702,4597020.115726019
30703,2830633.406324167
30704,8430091.094484238
30705,6579946.188303941
30706,12110209.373220041
30707,2770939.7899321243
30708,8428249.463656012
30709,4719277.899724739
30710,4961774.124342468
30711,3595128.1876887064
30712,3153130.791883862
30713,3963774.2163588186
30714,5531804.618595248
30715,3120598.533478616
30716,7854995.55014506
30717,4471251.254927532
30718,8452230.369256381
30719,14478984.785088839
30720,5373650.270454633
30721,2216098.733848118
30722,5524987.0972738005
30723,4969153.074497866
30724,8928962.62152087
30725,4803800.872006623
30726,7730917.185608798
30727,7327333.8634587405
30728,9331067.172049575
30729,2718325.0394007843
30730,4496099.372048957
30731,5549853.152678983
30732,3539404.122672696
